symbol,source,baseVolume,volumeMiniMove,priceMiniMove
bch_btc,okex,0.001,0.00000001,0.00000001
ltc_btc,okex,0.001,0.000001,0.00000001
eth_btc,okex,0.001,0.000001,0.00000001
etc_btc,okex,0.01,0.00001,0.00000001
eth_usdt,okex,0.001,0.000001,0.0001
btc_usdt,okex,0.001,0.00000001,0.0001
bt2_btc,okex,0.01,0.00001,0.00000001
etc_eth,okex,0.01,0.00001,0.00000001
btg_btc,okex,0.01,0.00001,0.00000001
ltc_usdt,okex,0.001,0.000001,0.0001
etc_usdt,okex,0.01,0.00001,0.0001
bch_usdt,okex,0.001,0.00000001,0.0001
qtum_btc,okex,0.01,0.00001,0.00000001
qtum_usdt,okex,0.01,0.00001,0.0001
qtum_eth,okex,0.01,0.00001,0.00000001
neo_btc,okex,0.01,0.00001,0.00000001
gas_btc,okex,0.01,0.00001,0.00000001
hsr_btc,okex,0.1,0.0001,0.00000001
neo_eth,okex,0.01,0.00001,0.00000001
gas_eth,okex,0.01,0.00001,0.00000001
hsr_eth,okex,0.1,0.0001,0.00000001
neo_usdt,okex,0.01,0.00001,0.0001
gas_usdt,okex,0.01,0.00001,0.0001
hsr_usdt,okex,0.1,0.0001,0.0001
dash_btc,okex,0.001,0.000001,0.00000001
xrp_btc,okex,1,0.001,0.00000001
zec_btc,okex,0.001,0.000001,0.00000001
dash_eth,okex,0.001,0.000001,0.00000001
xrp_eth,okex,1,0.001,0.00000001
zec_eth,okex,0.001,0.000001,0.00000001
dash_usdt,okex,0.001,0.000001,0.0001
xrp_usdt,okex,1,0.001,0.0001
zec_usdt,okex,0.001,0.000001,0.0001
iota_btc,okex,1,0.001,0.00000001
xuc_btc,okex,0.1,0.0001,0.00000001
iota_eth,okex,1,0.001,0.00000001
xuc_eth,okex,0.1,0.0001,0.00000001
iota_usdt,okex,1,0.001,0.0001
xuc_usdt,okex,0.1,0.0001,0.0001
eos_btc,okex,0.1,0.0001,0.00000001
omg_btc,okex,0.1,0.0001,0.00000001
eos_eth,okex,0.1,0.0001,0.00000001
omg_eth,okex,0.1,0.0001,0.00000001
eos_usdt,okex,0.1,0.0001,0.0001
omg_usdt,okex,0.1,0.0001,0.0001
act_btc,okex,1,0.001,0.00000001
btm_btc,okex,1,0.001,0.00000001
act_eth,okex,1,0.001,0.00000001
btm_eth,okex,1,0.001,0.00000001
act_usdt,okex,1,0.001,0.0001
btm_usdt,okex,1,0.001,0.0001
bcd_btc,okex,0.1,0.0001,0.00000001
bcd_usdt,okex,0.1,0.0001,0.0001
storj_btc,okex,1,0.001,0.00000001
snt_btc,okex,10,0.01,0.00000001
storj_eth,okex,1,0.001,0.00000001
snt_eth,okex,10,0.01,0.00000001
storj_usdt,okex,1,0.001,0.0001
snt_usdt,okex,10,0.01,0.0001
pay_btc,okex,1,0.001,0.00000001
dgd_btc,okex,0.001,0.000001,0.00000001
gnt_btc,okex,1,0.001,0.00000001
pay_eth,okex,1,0.001,0.00000001
dgd_eth,okex,0.001,0.000001,0.00000001
gnt_eth,okex,1,0.001,0.00000001
pay_usdt,okex,1,0.001,0.0001
dgd_usdt,okex,0.001,0.000001,0.0001
gnt_usdt,okex,1,0.001,0.0001
lrc_btc,okex,1,0.001,0.00000001
nuls_btc,okex,0.1,0.0001,0.00000001
mco_btc,okex,0.1,0.0001,0.00000001
lrc_eth,okex,1,0.001,0.00000001
nuls_eth,okex,0.1,0.0001,0.00000001
mco_eth,okex,0.1,0.0001,0.00000001
lrc_usdt,okex,1,0.001,0.0001
nuls_usdt,okex,0.1,0.0001,0.0001
mco_usdt,okex,0.1,0.0001,0.0001
btg_usdt,okex,0.01,0.00001,0.0001
cmt_btc,okex,10,0.01,0.00000001
itc_btc,okex,1,0.001,0.00000001
cmt_eth,okex,10,0.01,0.00000001
itc_eth,okex,1,0.001,0.00000001
cmt_usdt,okex,10,0.01,0.0001
itc_usdt,okex,1,0.001,0.0001
sbtc_btc,okex,0.1,0.0001,0.00000001
pra_btc,okex,1,0.001,0.00000001
san_btc,okex,1,0.001,0.00000001
edo_btc,okex,0.1,0.0001,0.00000001
avt_btc,okex,1,0.001,0.00000001
pra_eth,okex,1,0.001,0.00000001
san_eth,okex,1,0.001,0.00000001
edo_eth,okex,0.1,0.0001,0.00000001
avt_eth,okex,1,0.001,0.00000001
pra_usdt,okex,1,0.001,0.0001
san_usdt,okex,1,0.001,0.0001
edo_usdt,okex,1,0.001,0.0001
avt_usdt,okex,1,0.001,0.0001
ltc_eth,okex,0.001,0.000001,0.00000001
link_btc,okex,1,0.001,0.00000001
salt_btc,okex,0.1,0.0001,0.00000001
1st_btc,okex,1,0.001,0.00000001
wtc_btc,okex,0.1,0.0001,0.00000001
sngls_btc,okex,10,0.01,0.00000001
snm_btc,okex,10,0.01,0.00000001
zrx_btc,okex,1,0.001,0.00000001
bnt_btc,okex,0.1,0.0001,0.00000001
cvc_btc,okex,1,0.001,0.00000001
link_eth,okex,1,0.001,0.00000001
salt_eth,okex,0.1,0.0001,0.00000001
1st_eth,okex,1,0.001,0.00000001
wtc_eth,okex,0.1,0.0001,0.00000001
sngls_eth,okex,10,0.01,0.00000001
snm_eth,okex,10,0.01,0.00000001
zrx_eth,okex,1,0.001,0.00000001
bnt_eth,okex,0.1,0.0001,0.00000001
cvc_eth,okex,1,0.001,0.00000001
link_usdt,okex,1,0.001,0.0001
salt_usdt,okex,0.1,0.0001,0.0001
1st_usdt,okex,1,0.001,0.0001
wtc_usdt,okex,0.1,0.0001,0.0001
sngls_usdt,okex,10,0.01,0.0001
snm_usdt,okex,10,0.01,0.0001
zrx_usdt,okex,1,0.001,0.0001
bnt_usdt,okex,0.1,0.0001,0.0001
cvc_usdt,okex,1,0.001,0.0001
